stance_freq,swing_freq,a_param,lambda_cpl,A_front,A_back,A_hip
2.489174723625183,2.3852400183677673,5.0,0.0,2.0,2.0,0.0
2.4828370213508606,2.388990640640259,5.0,0.0,2.0,2.0,0.0
4.912376046180725,3.037900686264038,19.62303340435028,0.0,0.0,0.7842029333114624,0.0
2.5034181475639343,2.375833511352539,20.0,0.0,2.0,2.0,0.0
3.292937994003296,4.499098777770996,5.0,1.0,0.0,2.0,2.0
2.50986510515213,2.3720889687538147,20.0,0.0,2.0,2.0,0.0
2.545196056365967,2.3619468212127686,20.0,0.0,2.0,2.0,0.0
2.578860640525818,2.352605402469635,5.0,0.0,2.0,2.0,0.0
2.4894293546676636,2.3675724864006042,5.0,0.0,2.0,2.0,0.0
5.556994199752808,2.5173979997634888,20.0,0.0,0.2740340828895569,2.0,0.0
2.4977490305900574,2.3687338829040527,20.0,0.0,2.0,2.0,0.0
5.5964062213897705,2.747170150279999,5.0,1.0,0.0,2.0,0.0
2.4734567999839783,2.3743700981140137,5.0,0.0,2.0,2.0,0.0
2.4753910303115845,2.376127302646637,5.0,0.0,2.0,2.0,0.0
6.0,2.761350989341736,5.0,0.0,0.6008875370025635,2.0,0.0
6.0,2.6219127774238586,20.0,0.9932001233100891,0.6859759092330933,2.0,0.0
6.0,2.9114879965782166,5.0,0.0,0.43706876039505005,2.0,0.4966687858104706
3.749389886856079,2.3915145993232727,13.656641840934753,0.5219537019729614,0.5323805809020996,1.9948707818984985,1.8973346948623657
6.0,2.7107743620872498,5.0,0.0,0.6004822254180908,1.47803795337677,0.0
2.502904772758484,2.3857478499412537,5.0,0.0,2.0,2.0,0.19600483775138855
3.2839518785476685,1.7046766877174377,5.472003351897001,0.0,2.0,1.9656742811203003,0.922457754611969
2.410560429096222,2.422525405883789,5.0,0.0,2.0,2.0,0.0
2.2784494757652283,1.3322196900844574,15.59223473072052,1.0,2.0,2.0,0.8607789278030396
3.70258104801178,2.361848473548889,5.0,0.0,1.2928169965744019,1.8537145853042603,0.8227620720863342
2.3445446491241455,2.4872941374778748,5.0,0.0,2.0,2.0,0.0
2.3382242918014526,2.495445728302002,5.0,0.0,2.0,2.0,0.0
2.3293431401252747,2.5080349445343018,5.0,0.0,2.0,2.0,0.0
2.322747230529785,2.518733561038971,5.0,0.0,2.0,2.0,0.0
